time,h,v
0,1,0
0.01,0.9995095,-0.0981
0.02,0.998038,-0.1962
0.03,0.9955855,-0.2943
0.04,0.992152,-0.3924
0.05,0.9877375,-0.4905
0.06,0.982342,-0.5886
0.07,0.9759655,-0.6867
0.08,0.968608,-0.7848
0.09,0.9602695,-0.8829
0.1,0.95095,-0.981
0.11,0.9406495,-1.0791
0.12,0.929368,-1.1772
0.13,0.9171055,-1.2753
0.14,0.903862,-1.3734
0.15,0.8896375,-1.4715
0.16,0.874432,-1.5696
0.17,0.8582455,-1.6677
0.18,0.841078,-1.7658
0.19,0.8229295,-1.8639
0.2,0.8038,-1.962
0.21,0.7836895,-2.0601
0.22,0.762598,-2.1582
0.23,0.7405255,-2.2563
0.24,0.717472,-2.3544
0.25,0.6934375,-2.4525
0.26,0.668422,-2.5506
0.27,0.6424255,-2.6487
0.28,0.615448,-2.7468
0.29,0.5874895,-2.8449
0.3,0.55855,-2.943
0.31,0.5286295,-3.0411
0.32,0.497728,-3.1392
0.33,0.4658455,-3.2373
0.34,0.432982,-3.3354
0.35,0.3991375,-3.4335
0.36,0.364312,-3.5316
0.37,0.3285055,-3.6297
0.38,0.291718,-3.7278
0.39,0.2539495,-3.8259
0.4,0.2152,-3.924
0.41,0.1754695,-4.0221
0.42,0.134758,-4.1202
0.43,0.0930655,-4.2183
0.44,0.050392,-4.3164
0.45,0.0067375,-4.4145
0.46,0.02592948993,3.017459761
0.47,0.05561358754,2.919359761
0.48,0.08431668514,2.821259761
0.49,0.1120387828,2.723159761
0.5,0.1387798804,2.625059761
0.51,0.164539978,2.526959761
0.52,0.1893190756,2.428859761
0.53,0.2131171732,2.330759761
0.54,0.2359342708,2.232659761
0.55,0.2577703684,2.134559761
0.56,0.278625466,2.036459761
0.57,0.2984995636,1.938359761
0.58,0.3173926612,1.840259761
0.59,0.3353047588,1.742159761
0.6,0.3522358564,1.644059761
0.61,0.368185954,1.545959761
0.62,0.3831550516,1.447859761
0.63,0.3971431493,1.349759761
0.64,0.4101502469,1.251659761
0.65,0.4221763445,1.153559761
0.66,0.4332214421,1.055459761
0.67,0.4432855397,0.9573597607
0.68,0.4523686373,0.8592597607
0.69,0.4604707349,0.7611597607
0.7,0.4675918325,0.6630597607
0.71,0.4737319301,0.5649597607
0.72,0.4788910277,0.4668597607
0.73,0.4830691253,0.3687597607
0.74,0.4862662229,0.2706597607
0.75,0.4884823205,0.1725597607
0.76,0.4897174181,0.07445976072
0.77,0.4899715158,-0.02364023928
0.78,0.4892446134,-0.1217402393
0.79,0.487536711,-0.2198402393
0.8,0.4848478086,-0.3179402393
0.81,0.4811779062,-0.4160402393
0.82,0.4765270038,-0.5141402393
0.83,0.4708951014,-0.6122402393
0.84,0.464282199,-0.7103402393
0.85,0.4566882966,-0.8084402393
0.86,0.4481133942,-0.9065402393
0.87,0.4385574918,-1.004640239
0.88,0.4280205894,-1.102740239
0.89,0.416502687,-1.200840239
0.9,0.4040037846,-1.298940239
0.91,0.3905238823,-1.397040239
0.92,0.3760629799,-1.495140239
0.93,0.3606210775,-1.593240239
0.94,0.3441981751,-1.691340239
0.95,0.3267942727,-1.789440239
0.96,0.3084093703,-1.887540239
0.97,0.2890434679,-1.985640239
0.98,0.2686965655,-2.083740239
0.99,0.2473686631,-2.181840239
1,0.2250597607,-2.279940239
1.01,0.2017698583,-2.378040239
1.02,0.1774989559,-2.476140239
1.03,0.1522470535,-2.574240239
1.04,0.1260141511,-2.672340239
1.05,0.09880024876,-2.770440239
1.06,0.07060534636,-2.868540239
1.07,0.04142944397,-2.966640239
1.08,0.01127254158,-3.064740239
1.09,0.01357023661,2.108201593
1.1,0.03416175254,2.010101593
1.11,0.05377226847,1.912001593
1.12,0.07240178441,1.813901593
1.13,0.09005030034,1.715801593
1.14,0.1067178163,1.617701593
1.15,0.1224043322,1.519601593
1.16,0.1371098481,1.421501593
1.17,0.1508343641,1.323401593
1.18,0.16357788,1.225301593
1.19,0.1753403959,1.127201593
1.2,0.1861219119,1.029101593
1.21,0.1959224278,0.9310015932
1.22,0.2047419437,0.8329015932
1.23,0.2125804597,0.7348015932
1.24,0.2194379756,0.6367015932
1.25,0.2253144915,0.5386015932
1.26,0.2302100075,0.4405015932
1.27,0.2341245234,0.3424015932
1.28,0.2370580393,0.2443015932
1.29,0.2390105553,0.1462015932
1.3,0.2399820712,0.04810159324
1.31,0.2399725871,-0.04999840676
1.32,0.2389821031,-0.1480984068
1.33,0.237010619,-0.2461984068
1.34,0.2340581349,-0.3442984068
1.35,0.2301246509,-0.4423984068
1.36,0.2252101668,-0.5404984068
1.37,0.2193146827,-0.6385984068
1.38,0.2124381986,-0.7366984068
1.39,0.2045807146,-0.8347984068
1.4,0.1957422305,-0.9328984068
1.41,0.1859227464,-1.030998407
1.42,0.1751222624,-1.129098407
1.43,0.1633407783,-1.227198407
1.44,0.1505782942,-1.325298407
1.45,0.1368348102,-1.423398407
1.46,0.1221103261,-1.521498407
1.47,0.106404842,-1.619598407
1.48,0.08971835797,-1.717698407
1.49,0.07205087391,-1.815798407
1.5,0.05340238984,-1.913898407
1.51,0.03377290577,-2.011998407
