time,amp_i,speed_w_rel
0,-0,0
0.01,0.2376139406,0.00595997379
0.02,0.4705110478,0.02368119435
0.03,0.6987731954,0.05292870363
0.04,0.9224808639,0.09347163334
0.05,1.141713168,0.1450831257
0.06,1.356547877,0.2075402668
0.07,1.567061441,0.2806240201
0.08,1.773329011,0.3641191605
0.09,1.975424461,0.4578142091
0.1,2.173420408,0.5615013715
0.11,2.367388238,0.6749764736
0.12,2.557398121,0.7980389004
0.13,2.743519037,0.930491534
0.14,2.925818791,1.072140696
0.15,3.104364038,1.222796091
0.16,3.279220298,1.382270743
0.17,3.450451977,1.550380948
0.18,3.618122388,1.726946208
0.19,3.782293765,1.911789184
0.2,3.943027284,2.104735639
0.21,4.100383084,2.305614385
0.22,4.254420277,2.514257232
0.23,4.405196971,2.730498941
0.24,4.552770287,2.954177166
0.25,4.697196371,3.185132411
0.26,4.838530418,3.423207977
0.27,4.976826679,3.668249919
0.28,5.112138486,3.920106996
0.29,5.244518262,4.178630626
0.3,5.374017536,4.443674838
0.31,5.500686963,4.715096234
0.32,5.624576333,4.992753938
0.33,5.74573459,5.276509559
0.34,5.864209843,5.566227143
0.35,5.980049384,5.861773137
0.36,6.093299698,6.163016345
0.37,6.204006478,6.469827887
0.38,6.312215059,6.782079863
0.39,6.417969202,7.099649124
0.4,6.521312308,7.422413502
0.41,6.62228704,7.75025299
0.42,6.72093527,8.083049882
0.43,6.817298206,8.420688422
0.44,6.911416366,8.763054875
0.45,7.003329578,9.110037524
0.46,7.09307699,9.461526637
0.47,7.180697083,9.817414436
0.48,7.266227681,10.17759506
0.49,7.349705963,10.54196454
0.5,7.431168474,10.91042074
0.51,7.510651136,11.28286337
0.52,7.588189257,11.65919393
0.53,7.663817543,12.03931566
0.54,7.737570107,12.42313355
0.55,7.809480481,12.81055428
0.56,7.879581623,13.2014862
0.57,7.947905928,13.59583931
0.58,8.014485241,13.99352524
0.59,8.079350858,14.39445716
0.6,8.142533545,14.79854986
0.61,8.204063539,15.20571961
0.62,8.263970563,15.61588424
0.63,8.32228383,16.028963
0.64,8.379032054,16.44487666
0.65,8.434243459,16.86354738
0.66,8.487945786,17.28489874
0.67,8.540166301,17.7088557
0.68,8.590931804,18.13534458
0.69,8.640268637,18.56429304
0.7,8.68820262,18.99563024
0.71,8.734759202,19.42928645
0.72,8.779963395,19.86519318
0.73,8.823839785,20.30328322
0.74,8.866412536,20.74349056
0.75,8.9077054,21.18575041
0.76,8.947741721,21.62999914
0.77,8.986544443,22.0761743
0.78,9.024136116,22.5242146
0.79,9.060538907,22.97405984
0.8,9.095774599,23.42565095
0.81,9.129864604,23.87892993
0.82,9.162829968,24.33383986
0.83,9.194691372,24.79032487
0.84,9.225469146,25.2483301
0.85,9.25518327,25.70780173
0.86,9.283853382,26.16868691
0.87,9.31149878,26.6309338
0.88,9.338138434,27.09449148
0.89,9.363790988,27.55931002
0.9,9.388474763,28.02534039
0.91,9.412207769,28.49253448
0.92,9.435007704,28.96084508
0.93,9.456891962,29.43022587
0.94,9.477877639,29.90063137
0.95,9.497981536,30.37201698
0.96,9.517220167,30.84433893
0.97,9.53560976,31.31755427
0.98,9.553166263,31.79162085
0.99,9.569905352,32.26649733
1,9.585842432,32.74214315
1.01,9.600992528,33.2185192
1.02,9.615370641,33.69558572
1.03,9.628991394,34.17330441
1.04,9.641869157,34.6516377
1.05,9.654018051,35.13054874
1.06,9.665451955,35.61000137
1.07,9.676184508,36.08996014
1.08,9.686229114,36.57039026
1.09,9.695598946,37.05125763
1.1,9.704306949,37.53252878
1.11,9.712365844,38.0141709
1.12,9.719788134,38.49615182
1.13,9.726586104,38.97843999
1.14,9.732771828,39.46100445
1.15,9.738357171,39.94381488
1.16,9.743353792,40.42684151
1.17,9.74777315,40.91005518
1.18,9.751626503,41.3934273
1.19,9.754924918,41.87692982
1.2,9.757679266,42.36053526
1.21,9.759900233,42.84421667
1.22,9.761598318,43.32794765
1.23,9.76278384,43.8117023
1.24,9.763466935,44.29545525
1.25,9.763657568,44.77918163
1.26,9.763365526,45.26285707
1.27,9.762600433,45.74645767
1.28,9.76137174,46.22996003
1.29,9.759688735,46.71334122
1.3,9.757560546,47.19657876
1.31,9.754996141,47.67965063
1.32,9.752004333,48.16253527
1.33,9.74859378,48.64521153
1.34,9.74477299,49.12765872
1.35,9.740550325,49.60985655
1.36,9.735933998,50.09178517
1.37,9.730932081,50.57342512
1.38,9.725552505,51.05475736
1.39,9.71980306,51.53576322
1.4,9.713691404,52.01642443
1.41,9.707225059,52.49672312
1.42,9.700411415,52.97664177
1.43,9.693257736,53.45616323
1.44,9.685771154,53.93527073
1.45,9.677958722,54.41394735
1.46,9.669827285,54.89217751
1.47,9.66138361,55.36994547
1.48,9.652634344,55.84723582
1.49,9.64358602,56.3240335
1.5,9.634245053,56.80032378
1.51,9.624617749,57.27609222
1.52,9.614710301,57.75132471
1.53,9.604528793,58.22600747
1.54,9.594079203,58.70012698
1.55,9.583367404,59.17367006
1.56,9.572399166,59.64662378
1.57,9.561180155,60.11897554
1.58,9.549715939,60.590713
1.59,9.538011989,61.06182408
1.6,9.526073676,61.53229701
1.61,9.51390628,62.00212027
1.62,9.501514986,62.47128258
1.63,9.488904886,62.93977297
1.64,9.476080984,63.40758066
1.65,9.463048195,63.87469518
1.66,9.449811346,64.34110626
1.67,9.43637518,64.80680389
1.68,9.422744354,65.2717783
1.69,9.408923443,65.73601994
1.7,9.394916943,66.19951948
1.71,9.380729266,66.66226785
1.72,9.366364749,67.12425615
1.73,9.35182765,67.58547574
1.74,9.337122152,68.04591817
1.75,9.322252363,68.5055752
1.76,9.307222317,68.96443878
1.77,9.292035978,69.4225011
1.78,9.276697237,69.87975451
1.79,9.261209917,70.33619157
1.8,9.245577771,70.79180503
1.81,9.229804487,71.24658782
1.82,9.213893684,71.70053306
1.83,9.197848919,72.15363404
1.84,9.181673684,72.60588424
1.85,9.165371406,73.05727731
1.86,9.148945454,73.50780707
1.87,9.132399134,73.95746749
1.88,9.115735694,74.40625274
1.89,9.098958321,74.85415712
1.9,9.082070147,75.30117511
1.91,9.065074246,75.74730133
1.92,9.047973636,76.19253055
1.93,9.030771282,76.63685771
1.94,9.013470094,77.08027789
1.95,8.996072929,77.5227863
1.96,8.978582593,77.9643783
1.97,8.96100184,78.40504941
1.98,8.943333374,78.84479525
1.99,8.925579851,79.28361161
2,8.907743877,79.72149439
2.01,8.889828011,80.15843962
2.02,8.871834765,80.59444346
2.03,8.853766605,81.02950221
2.04,8.835625952,81.46361227
2.05,8.817415183,81.89677017
2.06,8.79913663,82.32897256
2.07,8.780792584,82.76021621
2.08,8.762385291,83.19049799
2.09,8.743916958,83.61981489
2.1,8.725389751,84.04816401
2.11,8.706805795,84.47554255
2.12,8.688167175,84.90194784
2.13,8.66947594,85.32737728
2.14,8.650734097,85.75182839
2.15,8.631943621,86.17529879
2.16,8.613106444,86.59778619
2.17,8.594224467,87.01928841
2.18,8.575299553,87.43980335
2.19,8.556333531,87.859329
2.2,8.537328195,88.27786346
2.21,8.518285305,88.69540491
2.22,8.49920659,89.11195161
2.23,8.480093745,89.5275019
2.24,8.460948432,89.94205423
2.25,8.441772284,90.35560711
2.26,8.422566901,90.76815914
2.27,8.403333853,91.179709
2.28,8.384074682,91.59025545
2.29,8.364790899,91.99979731
2.3,8.345483985,92.40833349
2.31,8.326155396,92.81586298
2.32,8.306806558,93.22238482
2.33,8.28743887,93.62789814
2.34,8.268053703,94.03240214
2.35,8.248652404,94.43589607
2.36,8.229236293,94.83837925
2.37,8.209806663,95.2398511
2.38,8.190364785,95.64031105
2.39,8.170911902,96.03975864
