time,y_scalar,y_gain
0,0,0
0.01,0,0
0.02,0.009999833334,0.01999966667
0.03,0.01999866669,0.03999733338
0.04,0.0299955002,0.0599910004
0.05,0.03998933419,0.07997866838
0.06,0.04997916927,0.09995833854
0.07,0.05996400648,0.119928013
0.08,0.06994284734,0.1398856947
0.09,0.07991469397,0.1598293879
0.1,0.0898785492,0.1797570984
0.11,0.09983341665,0.1996668333
0.12,0.1097783008,0.2195566016
0.13,0.1197122073,0.2394244146
0.14,0.1296341426,0.2592682852
0.15,0.1395431146,0.2790862292
0.16,0.1494381325,0.298876265
0.17,0.1593182066,0.3186364132
0.18,0.1691823491,0.3383646982
0.19,0.1790295734,0.3580591468
0.2,0.188858895,0.37771779
0.21,0.1986693308,0.3973386616
0.22,0.2084598998,0.4169197996
0.23,0.2182296231,0.4364592462
0.24,0.2279775235,0.455955047
0.25,0.2377026264,0.4754052528
0.26,0.2474039593,0.4948079186
0.27,0.2570805519,0.5141611038
0.28,0.2667314367,0.5334628734
0.29,0.2763556486,0.5527112972
0.3,0.2859522251,0.5719044502
0.31,0.2955202067,0.5910404134
0.32,0.3050586364,0.6101172728
0.33,0.3145665606,0.6291331212
0.34,0.3240430284,0.6480860568
0.35,0.3334870921,0.6669741842
0.36,0.3428978075,0.685795615
0.37,0.3522742333,0.7045484666
0.38,0.361615432,0.723230864
0.39,0.3709204694,0.7418409388
0.4,0.3801884151,0.7603768302
0.41,0.3894183423,0.7788366846
0.42,0.398609328,0.797218656
0.43,0.4077604531,0.8155209062
0.44,0.4168708024,0.8337416048
0.45,0.4259394651,0.8518789302
0.46,0.4349655341,0.8699310682
0.47,0.443948107,0.887896214
0.48,0.4528862854,0.9057725708
0.49,0.4617791755,0.923558351
0.5,0.4706258882,0.9412517764
0.51,0.4794255386,0.9588510772
0.52,0.4881772469,0.9763544938
0.53,0.4968801378,0.9937602756
0.54,0.5055333412,1.011066682
0.55,0.5141359917,1.028271983
0.56,0.5226872289,1.045374458
0.57,0.5311861979,1.062372396
0.58,0.5396320487,1.079264097
0.59,0.5480239368,1.096047874
0.6,0.5563610229,1.112722046
0.61,0.5646424734,1.129284947
0.62,0.5728674601,1.14573492
0.63,0.5810351605,1.162070321
0.64,0.5891447579,1.178289516
0.65,0.5971954414,1.194390883
0.66,0.6051864057,1.210372811
0.67,0.613116852,1.226233704
0.68,0.620985987,1.241971974
0.69,0.628793024,1.257586048
0.7,0.6365371822,1.273074364
0.71,0.6442176872,1.288435374
0.72,0.651833771,1.303667542
0.73,0.659384672,1.318769344
0.74,0.666869635,1.33373927
0.75,0.6742879116,1.348575823
0.76,0.68163876,1.36327752
0.77,0.6889214451,1.37784289
0.78,0.6961352386,1.392270477
0.79,0.7032794192,1.406558838
0.8,0.7103532724,1.420706545
0.81,0.7173560909,1.434712182
0.82,0.7242871744,1.448574349
0.83,0.7311458297,1.462291659
0.84,0.7379313711,1.475862742
0.85,0.74464312,1.48928624
0.86,0.7512804051,1.50256081
0.87,0.7578425629,1.515685126
0.88,0.764328937,1.528657874
0.89,0.7707388789,1.541477758
0.9,0.7770717475,1.554143495
0.91,0.7833269096,1.566653819
0.92,0.7895037397,1.579007479
0.93,0.79560162,1.59120324
0.94,0.8016199409,1.603239882
0.95,0.8075581004,1.615116201
0.96,0.8134155048,1.62683101
0.97,0.8191915683,1.638383137
0.98,0.8248857133,1.649771427
0.99,0.8304973705,1.660994741
1,0.8360259786,1.672051957
1.01,0.8414709848,1.68294197
1.02,0.8468318446,1.693663689
1.03,0.8521080219,1.704216044
1.04,0.8572989892,1.714597978
1.05,0.8624042272,1.724808454
1.06,0.8674232256,1.734846451
1.07,0.8723554823,1.744710965
1.08,0.8772005043,1.754401009
1.09,0.8819578069,1.763915614
1.1,0.8866269144,1.773253829
1.11,0.8912073601,1.78241472
1.12,0.8956986857,1.791397371
1.13,0.9001004422,1.800200884
1.14,0.9044121894,1.808824379
1.15,0.9086334961,1.817266992
1.16,0.9127639403,1.825527881
1.17,0.9168031088,1.833606218
1.18,0.9207505977,1.841501195
1.19,0.9246060124,1.849212025
1.2,0.9283689672,1.856737934
1.21,0.932039086,1.864078172
1.22,0.9356160016,1.871232003
1.23,0.9390993563,1.878198713
1.24,0.9424888019,1.884977604
1.25,0.9457839994,1.891567999
1.26,0.9489846194,1.897969239
1.27,0.9520903416,1.904180683
1.28,0.9551008556,1.910201711
1.29,0.9580158603,1.916031721
1.3,0.9608350642,1.921670128
1.31,0.9635581854,1.927116371
1.32,0.9661849516,1.932369903
1.33,0.9687151001,1.9374302
1.34,0.9711483779,1.942296756
1.35,0.9734845417,1.946969083
1.36,0.9757233578,1.951446716
1.37,0.9778646024,1.955729205
1.38,0.9799080614,1.959816123
1.39,0.9818535304,1.963707061
1.4,0.9837008148,1.96740163
1.41,0.98544973,1.97089946
1.42,0.987100101,1.974200202
1.43,0.9886517629,1.977303526
1.44,0.9901045603,1.980209121
1.45,0.9914583482,1.982916696
1.46,0.992712991,1.985425982
1.47,0.9938683634,1.987736727
1.48,0.9949243498,1.9898487
1.49,0.9958808445,1.991761689
1.5,0.996737752,1.993475504
1.51,0.9974949866,1.994989973
1.52,0.9981524725,1.996304945
1.53,0.998710144,1.997420288
1.54,0.9991679453,1.998335891
1.55,0.9995258306,1.999051661
1.56,0.9997837642,1.999567528
1.57,0.9999417202,1.99988344
1.58,0.9999996829,1.999999366
1.59,0.9999576465,1.999915293
1.6,0.9998156151,1.99963123
1.61,0.999573603,1.999147206
1.62,0.9992316344,1.998463269
1.63,0.9987897435,1.997579487
1.64,0.9982479744,1.996495949
1.65,0.9976063813,1.995212763
1.66,0.9968650285,1.993730057
1.67,0.9960239899,1.99204798
1.68,0.9950833498,1.9901667
1.69,0.9940432022,1.988086404
1.7,0.9929036511,1.985807302
1.71,0.9916648105,1.983329621
1.72,0.9903268042,1.980653608
1.73,0.988889766,1.977779532
1.74,0.9873538397,1.974707679
1.75,0.9857191788,1.971438358
1.76,0.9839859469,1.967971894
1.77,0.9821543171,1.964308634
1.78,0.9802244728,1.960448946
1.79,0.9781966068,1.956393214
1.8,0.976070922,1.952141844
1.81,0.9738476309,1.947695262
1.82,0.9715269558,1.943053912
1.83,0.9691091289,1.938218258
1.84,0.9665943918,1.933188784
1.85,0.9639829962,1.927965992
1.86,0.961275203,1.922550406
1.87,0.9584712831,1.916942566
1.88,0.9555715169,1.911143034
1.89,0.9525761943,1.905152389
1.9,0.9494856149,1.89897123
1.91,0.9463000877,1.892600175
1.92,0.9430199313,1.886039863
1.93,0.9396454737,1.879290947
1.94,0.9361770523,1.872354105
1.95,0.932615014,1.865230028
1.96,0.928959715,1.85791943
1.97,0.9252115208,1.850423042
1.98,0.9213708062,1.842741612
1.99,0.9174379553,1.834875911
2,0.9134133613,1.826826723
2.01,0.9092974268,1.818594854
2.02,0.9050905633,1.810181127
2.03,0.9007931915,1.801586383
2.04,0.8964057412,1.792811482
2.05,0.891928651,1.783857302
2.06,0.8873623686,1.774724737
2.07,0.8827073508,1.765414702
2.08,0.877964063,1.755928126
2.09,0.8731329795,1.746265959
2.1,0.8682145834,1.736429167
2.11,0.8632093666,1.726418733
2.12,0.8581178296,1.716235659
2.13,0.8529404816,1.705880963
2.14,0.8476778401,1.69535568
2.15,0.8423304316,1.684660863
2.16,0.8368987908,1.673797582
2.17,0.8313834608,1.662766922
2.18,0.8257849931,1.651569986
2.19,0.8201039476,1.640207895
2.2,0.8143408924,1.628681785
2.21,0.8084964038,1.616992808
2.22,0.8025710662,1.605142132
2.23,0.7965654722,1.593130944
2.24,0.7904802223,1.580960445
