time,y_real,y_int,y_bool,y_over
0,0,0,1,0
0.01,0,0,1,0
0.02,0.01999966667,0,0,0
0.03,0.03999733338,0,0,0
0.04,0.0599910004,0,0,0
0.05,0.07997866838,0,0,0
0.06,0.09995833854,0,0,0
0.07,0.119928013,0,0,0
0.08,0.1398856947,0,0,0
0.09,0.1598293879,0,0,0
0.1,0.1797570984,0,0,0
0.11,0.1996668333,0,0,0
0.12,0.2195566016,0,0,0
0.13,0.2394244146,0,0,0
0.14,0.2592682852,0,0,0
0.15,0.2790862292,0,0,0
0.16,0.298876265,0,0,0
0.17,0.3186364132,0,0,0
0.18,0.3383646982,0,0,0
0.19,0.3580591468,0,0,0
0.2,0.37771779,0,0,0
0.21,0.3973386616,0,0,0
0.22,0.4169197996,0,0,0
0.23,0.4364592462,0,0,0
0.24,0.455955047,0,0,0
0.25,0.4754052528,0,0,0
0.26,0.4948079186,0,0,0
0.27,0.5141611038,0,0,0
0.28,0.5334628734,0,0,0
0.29,0.5527112972,0,0,0
0.3,0.5719044502,0,0,0
0.31,0.5910404134,0,0,0
0.32,0.6101172728,0,0,0
0.33,0.6291331212,0,0,0
0.34,0.6480860568,0,0,0
0.35,0.6669741842,0,0,0
0.36,0.685795615,0,0,0
0.37,0.7045484666,0,0,0
0.38,0.723230864,0,0,0
0.39,0.7418409388,0,0,0
0.4,0.7603768302,0,0,0
0.41,0.7788366846,0,0,0
0.42,0.797218656,0,0,0
0.43,0.8155209062,0,0,0
0.44,0.8337416048,0,0,0
0.45,0.8518789302,0,0,0
0.46,0.8699310682,0,0,0
0.47,0.887896214,0,0,0
0.48,0.9057725708,0,0,0
0.49,0.923558351,0,0,0
0.5,0.9412517764,0,0,0
0.51,0.9588510772,0,0,0
0.52,0.9763544938,0,0,0
0.53,0.9937602756,0,0,0
0.54,1.011066682,0,0,1
0.55,1.028271983,0,0,1
0.56,1.045374458,0,0,1
0.57,1.062372396,0,0,1
0.58,1.079264097,0,0,1
0.59,1.096047874,0,0,1
0.6,1.112722046,0,0,1
0.61,1.129284947,0,0,1
0.62,1.14573492,0,0,1
0.63,1.162070321,0,0,1
0.64,1.178289516,0,0,1
0.65,1.194390883,0,0,1
0.66,1.210372811,0,0,1
0.67,1.226233704,0,0,1
0.68,1.241971974,0,0,1
0.69,1.257586048,0,0,1
0.7,1.273074364,0,0,1
0.71,1.288435374,0,0,1
0.72,1.303667542,0,0,1
0.73,1.318769344,0,0,1
0.74,1.33373927,0,0,1
0.75,1.348575823,0,0,1
0.76,1.36327752,0,0,1
0.77,1.37784289,0,0,1
0.78,1.392270477,0,0,1
0.79,1.406558838,0,0,1
0.8,1.420706545,0,0,1
0.81,1.434712182,0,0,1
0.82,1.448574349,0,0,1
0.83,1.462291659,0,0,1
0.84,1.475862742,0,0,1
0.85,1.48928624,0,0,1
0.86,1.50256081,0,0,1
0.87,1.515685126,0,0,1
0.88,1.528657874,0,0,1
0.89,1.541477758,0,0,1
0.9,1.554143495,0,0,1
0.91,1.566653819,0,0,1
0.92,1.579007479,0,0,1
0.93,1.59120324,0,0,1
0.94,1.603239882,0,0,1
0.95,1.615116201,0,0,1
0.96,1.62683101,0,0,1
0.97,1.638383137,0,0,1
0.98,1.649771427,0,0,1
0.99,1.660994741,0,0,1
1,1.672051957,0,0,1
1.01,1.68294197,1,0,1
1.02,1.693663689,1,0,1
1.03,1.704216044,1,0,1
1.04,1.714597978,1,0,1
1.05,1.724808454,1,0,1
1.06,1.734846451,1,0,1
1.07,1.744710965,1,0,1
1.08,1.754401009,1,0,1
1.09,1.763915614,1,0,1
1.1,1.773253829,1,0,1
1.11,1.78241472,1,0,1
1.12,1.791397371,1,0,1
1.13,1.800200884,1,0,1
1.14,1.808824379,1,0,1
1.15,1.817266992,1,0,1
1.16,1.825527881,1,0,1
1.17,1.833606218,1,0,1
1.18,1.841501195,1,0,1
1.19,1.849212025,1,0,1
1.2,1.856737934,1,0,1
1.21,1.864078172,1,0,1
1.22,1.871232003,1,0,1
1.23,1.878198713,1,0,1
1.24,1.884977604,1,0,1
1.25,1.891567999,1,0,1
1.26,1.897969239,1,0,1
1.27,1.904180683,1,0,1
1.28,1.910201711,1,0,1
1.29,1.916031721,1,0,1
1.3,1.921670128,1,0,1
1.31,1.927116371,1,0,1
1.32,1.932369903,1,0,1
1.33,1.9374302,1,0,1
1.34,1.942296756,1,0,1
1.35,1.946969083,1,0,1
1.36,1.951446716,1,0,1
1.37,1.955729205,1,0,1
1.38,1.959816123,1,0,1
1.39,1.963707061,1,0,1
1.4,1.96740163,1,0,1
1.41,1.97089946,1,0,1
1.42,1.974200202,1,0,1
1.43,1.977303526,1,0,1
1.44,1.980209121,1,0,1
1.45,1.982916696,1,0,1
1.46,1.985425982,1,0,1
1.47,1.987736727,1,0,1
1.48,1.9898487,1,0,1
1.49,1.991761689,1,0,1
1.5,1.993475504,1,0,1
