time,x,u
0,1,0.3830517232
0.01,0.9938612621,0.3830517232
0.02,0.9877836056,0.3830517232
0.03,0.9817664229,0.3830517232
0.04,0.9758091121,0.3830517232
0.05,0.9699110775,0.3830517232
0.06,0.9640717293,0.3830517232
0.07,0.9582904837,0.3830517232
0.08,0.9525667624,0.3830517232
0.09,0.9468999931,0.3830517232
0.1,0.941289609,0.3830517232
0.11,0.9355109674,0.3605313003
0.12,0.9297898241,0.3605313003
0.13,0.9241256072,0.3605313003
0.14,0.9185177501,0.3605313003
0.15,0.9129656922,0.3605313003
0.16,0.9074688782,0.3605313003
0.17,0.9020267583,0.3605313003
0.18,0.8966387885,0.3605313003
0.19,0.8913044299,0.3605313003
0.2,0.886023149,0.3605313003
0.21,0.8805889647,0.3398830891
0.22,0.8752088513,0.3398830891
0.23,0.869882271,0.3398830891
0.24,0.864608691,0.3398830891
0.25,0.859387584,0.3398830891
0.26,0.8542184279,0.3398830891
0.27,0.8491007058,0.3398830891
0.28,0.8440339059,0.3398830891
0.29,0.8390175214,0.3398830891
0.3,0.8340510508,0.3398830891
0.31,0.8289461816,0.3210074306
0.32,0.8238921066,0.3210074306
0.33,0.8188883205,0.3210074306
0.34,0.8139343228,0.3210074306
0.35,0.8090296183,0.3210074306
0.36,0.8041737164,0.3210074306
0.37,0.7993661315,0.3210074306
0.38,0.7946063829,0.3210074306
0.39,0.7898939946,0.3210074306
0.4,0.7852284954,0.3210074306
0.41,0.7804381356,0.3037933409
0.42,0.7756954407,0.3037933409
0.43,0.7709999363,0.3037933409
0.44,0.766351153,0.3037933409
0.45,0.7617486259,0.3037933409
0.46,0.7571918947,0.3037933409
0.47,0.7526805037,0.3037933409
0.48,0.7482140018,0.3037933409
0.49,0.7437919423,0.3037933409
0.5,0.7394138831,0.3037933409
0.51,0.7349234631,0.2881229222
0.52,0.7304777234,0.2881229222
0.53,0.7260762196,0.2881229222
0.54,0.7217185115,0.2881229222
0.55,0.7174041633,0.2881229222
0.56,0.7131327436,0.2881229222
0.57,0.7089038252,0.2881229222
0.58,0.7047169852,0.2881229222
0.59,0.7005718051,0.2881229222
0.6,0.6964678701,0.2881229222
0.61,0.6922630053,0.2738754451
0.62,0.6880999795,0.2738754451
0.63,0.6839783765,0.2738754451
0.64,0.6798977842,0.2738754451
0.65,0.6758577944,0.2738754451
0.66,0.6718580032,0.2738754451
0.67,0.6678980106,0.2738754451
0.68,0.6639774206,0.2738754451
0.69,0.660095841,0.2738754451
0.7,0.6562528839,0.2738754451
0.71,0.6523193618,0.2609306276
0.72,0.6484249788,0.2609306276
0.73,0.6445693456,0.2609306276
0.74,0.6407520766,0.2609306276
0.75,0.63697279,0.2609306276
0.76,0.633231108,0.2609306276
0.77,0.6295266563,0.2609306276
0.78,0.6258590645,0.2609306276
0.79,0.6222279659,0.2609306276
0.8,0.6186329973,0.2609306276
0.81,0.6149567994,0.2491720319
0.82,0.6113171801,0.2491720319
0.83,0.6077137757,0.2491720319
0.84,0.6041462257,0.2491720319
0.85,0.6006141735,0.2491720319
0.86,0.5971172658,0.2491720319
0.87,0.5936551528,0.2491720319
0.88,0.5902274885,0.2491720319
0.89,0.58683393,0.2491720319
0.9,0.583474138,0.2491720319
0.91,0.580041475,0.2384886444
0.92,0.5766429676,0.2384886444
0.93,0.5732782759,0.2384886444
0.94,0.5699470634,0.2384886444
0.95,0.566648997,0.2384886444
0.96,0.5633837469,0.2384886444
0.97,0.5601509866,0.2384886444
0.98,0.5569503929,0.2384886444
0.99,0.5537816455,0.2384886444
1,0.5506444277,0.2384886444
1.01,0.5474417893,0.228776589
1.02,0.5442710176,0.228776589
1.03,0.5411317956,0.228776589
1.04,0.5380238093,0.228776589
1.05,0.5349467481,0.228776589
1.06,0.5319003041,0.228776589
1.07,0.5288841727,0.228776589
