time,u
0,2
0.01,2
0.02,1.985099667
0.03,1.970347596
0.04,1.95574231
0.05,1.941282349
0.06,1.926966266
0.07,1.912792632
0.08,1.898760027
0.09,1.884867049
0.1,1.871112309
0.11,1.85749443
0.12,1.844012052
0.13,1.830663825
0.14,1.817448416
0.15,1.804364502
0.16,1.791410775
0.17,1.77858594
0.18,1.765888714
0.19,1.753317828
0.2,1.740872024
0.21,1.728550058
0.22,1.716350698
0.23,1.704272723
0.24,1.692314926
0.25,1.680476111
0.26,1.668755094
0.27,1.657150704
0.28,1.645661779
0.29,1.63428717
0.3,1.623025741
0.31,1.611876365
0.32,1.600837928
0.33,1.589909324
0.34,1.579089462
0.35,1.568377259
0.36,1.557771645
0.37,1.547271558
0.38,1.536875949
0.39,1.526583778
0.4,1.516394015
0.41,1.506305643
0.42,1.496317651
0.43,1.486429042
0.44,1.476638826
0.45,1.466946024
0.46,1.457349667
0.47,1.447848795
0.48,1.438442459
0.49,1.429129718
0.5,1.419909639
0.51,1.410781302
0.52,1.401743794
0.53,1.39279621
0.54,1.383937656
0.55,1.375167247
0.56,1.366484104
0.57,1.35788736
0.58,1.349376155
0.59,1.340949638
0.6,1.332606966
0.61,1.324347305
0.62,1.316169829
0.63,1.308073721
0.64,1.30005817
0.65,1.292122375
0.66,1.284265542
0.67,1.276486887
0.68,1.26878563
0.69,1.261161002
0.7,1.25361224
0.71,1.24613859
0.72,1.238739304
0.73,1.231413642
0.74,1.224160871
0.75,1.216980267
0.76,1.209871111
0.77,1.202832692
0.78,1.195864307
0.79,1.188965259
0.8,1.182134857
0.81,1.175372418
0.82,1.168677267
0.83,1.162048734
0.84,1.155486156
0.85,1.148988877
0.86,1.142556246
0.87,1.136187622
0.88,1.129882366
0.89,1.123639849
0.9,1.117459445
0.91,1.111340538
0.92,1.105282515
0.93,1.09928477
0.94,1.093346704
0.95,1.087467723
0.96,1.081647238
0.97,1.075884668
0.98,1.070179437
0.99,1.064530973
1,1.058938713
1.01,1.053402097
1.02,1.047920571
1.03,1.042493587
1.04,1.037120603
1.05,1.03180108
1.06,1.026534488
1.07,1.021320299
1.08,1.016157992
1.09,1.011047051
1.1,1.005986965
1.11,1.000977228
1.12,0.9960173378
1.13,0.9911067996
1.14,0.9862451221
1.15,0.9814318192
1.16,0.9766664095
1.17,0.9719484164
1.18,0.9672773681
1.19,0.9626527974
1.2,0.9580742421
1.21,0.953541244
1.22,0.9490533501
1.23,0.9446101115
1.24,0.9402110839
1.25,0.9358558272
1.26,0.9315439063
1.27,0.9272748895
1.28,0.9230483502
1.29,0.9188638657
1.3,0.9147210174
1.31,0.9106193911
1.32,0.9065585769
1.33,0.9025381684
1.34,0.8985577635
1.35,0.8946169644
1.36,0.8907153767
1.37,0.8868526108
1.38,0.8830282799
1.39,0.8792420017
1.4,0.8754933975
1.41,0.8717820926
1.42,0.868107716
1.43,0.8644698998
1.44,0.8608682805
1.45,0.8573024981
1.46,0.8537721957
1.47,0.8502770204
1.48,0.8468166227
1.49,0.8433906566
1.5,0.8399987792
1.51,0.8366406517
1.52,0.8333159383
1.53,0.8300243062
1.54,0.8267654262
1.55,0.8235389727
1.56,0.820344623
1.57,0.8171820577
1.58,0.8140509605
1.59,0.810951018
1.6,0.8078819205
1.61,0.8048433611
1.62,0.8018350359
1.63,0.798856644
1.64,0.7959078875
1.65,0.7929884718
1.66,0.7900981046
