time,x
0,2.5
0.01,2.480079787
0.02,2.4603183
0.03,2.440714274
0.04,2.421266455
0.05,2.401973598
0.06,2.382834468
0.07,2.36384784
0.08,2.345012499
0.09,2.32632724
0.1,2.307790866
0.11,2.289402192
0.12,2.27116004
0.13,2.253063244
0.14,2.235110644
0.15,2.217301092
0.16,2.199633448
0.17,2.182106581
0.18,2.16471937
0.19,2.147470702
0.2,2.130359472
0.21,2.113384587
0.22,2.096544958
0.23,2.07983951
0.24,2.063267171
0.25,2.046826883
0.26,2.030517592
0.27,2.014338255
0.28,1.998287836
0.29,1.982365308
0.3,1.966569653
0.31,1.950899858
0.32,1.935354922
0.33,1.919933849
0.34,1.904635653
0.35,1.889459354
0.36,1.874403981
0.37,1.85946857
0.38,1.844652166
0.39,1.829953821
0.4,1.815372593
0.41,1.800907549
0.42,1.786557765
0.43,1.77232232
0.44,1.758200305
0.45,1.744190815
0.46,1.730292954
0.47,1.716505833
0.48,1.702828568
0.49,1.689260285
0.5,1.675800115
0.51,1.662447197
0.52,1.649200676
0.53,1.636059705
0.54,1.623023442
0.55,1.610091053
0.56,1.59726171
0.57,1.584534593
0.58,1.571908886
0.59,1.559383782
0.6,1.54695848
0.61,1.534632183
0.62,1.522404103
0.63,1.510273457
0.64,1.49823947
0.65,1.48630137
0.66,1.474458394
0.67,1.462709784
0.68,1.451054788
0.69,1.43949266
0.7,1.42802266
0.71,1.416644053
0.72,1.405356113
0.73,1.394158116
0.74,1.383049345
0.75,1.37202909
0.76,1.361096646
0.77,1.350251312
0.78,1.339492394
0.79,1.328819205
0.8,1.31823106
0.81,1.307727283
0.82,1.2973072
0.83,1.286970146
0.84,1.276715458
0.85,1.266542481
0.86,1.256450563
0.87,1.246439057
0.88,1.236507325
0.89,1.226654729
0.9,1.21688064
0.91,1.207184431
0.92,1.197565483
0.93,1.188023179
0.94,1.178556909
0.95,1.169166068
0.96,1.159850053
0.97,1.150608269
0.98,1.141440124
0.99,1.132345032
1,1.12332241
1.01,1.114371682
1.02,1.105492273
1.03,1.096683617
1.04,1.087945148
1.05,1.079276309
1.06,1.070676543
1.07,1.062145301
1.08,1.053682037
1.09,1.045286209
1.1,1.036957279
1.11,1.028694715
1.12,1.020497988
1.13,1.012366573
1.14,1.00429995
1.15,0.9962976027
1.16,0.9883590186
1.17,0.9804836897
1.18,0.9726711122
1.19,0.9649207859
1.2,0.9572322149
1.21,0.9496049071
1.22,0.9420383744
1.23,0.9345321324
1.24,0.9270857007
1.25,0.9196986029
1.26,0.9123703661
1.27,0.9051005214
1.28,0.8978886033
1.29,0.8907341505
1.3,0.8836367049
1.31,0.8765958124
1.32,0.8696110223
1.33,0.8626818876
1.34,0.8558079649
1.35,0.8489888141
1.36,0.8422239989
1.37,0.8355130864
1.38,0.828855647
1.39,0.8222512546
1.4,0.8156994866
1.41,0.8091999236
1.42,0.8027521497
1.43,0.7963557522
1.44,0.7900103217
1.45,0.7837154522
1.46,0.7774707407
1.47,0.7712757877
1.48,0.7651301965
1.49,0.7590335739
1.5,0.7529855298
1.51,0.746985677
1.52,0.7410336315
1.53,0.7351290124
1.54,0.7292714418
1.55,0.7234605448
1.56,0.7176959496
1.57,0.7119772872
1.58,0.7063041915
1.59,0.7006762996
1.6,0.6950932511
1.61,0.6895546889
1.62,0.6840602584
1.63,0.678609608
1.64,0.6732023889
1.65,0.6678382549
1.66,0.6625168628
1.67,0.657237872
1.68,0.6520009447
1.69,0.6468057456
1.7,0.6416519424
1.71,0.6365392051
1.72,0.6314672065
1.73,0.626435622
1.74,0.6214441296
1.75,0.6164924099
1.76,0.6115801458
1.77,0.6067070231
1.78,0.6018727299
1.79,0.5970769567
1.8,0.5923193967
1.81,0.5875997453
1.82,0.5829177005
1.83,0.5782729626
1.84,0.5736652344
1.85,0.569094221
1.86,0.5645596297
1.87,0.5600611705
1.88,0.5555985554
1.89,0.5511714988
1.9,0.5467797174
1.91,0.54242293
1.92,0.5381008579
1.93,0.5338132245
1.94,0.5295597552
1.95,0.525340178
1.96,0.5211542227
1.97,0.5170016215
1.98,0.5128821085
1.99,0.5087954202
2,0.504741295
2.01,0.5007194734
2.02,0.496729698
2.03,0.4927717134
2.04,0.4888452664
2.05,0.4849501057
2.06,0.481085982
2.07,0.4772526479
2.08,0.4734498582
2.09,0.4696773694
2.1,0.4659349401
2.11,0.4622223308
2.12,0.4585393039
2.13,0.4548856237
2.14,0.4512610563
2.15,0.4476653698
2.16,0.444098334
2.17,0.4405597206
2.18,0.4370493033
2.19,0.4335668572
2.2,0.4301121596
2.21,0.4266849892
2.22,0.4232851269
2.23,0.419912355
2.24,0.4165664576
2.25,0.4132472206
2.26,0.4099544315
2.27,0.4066878797
2.28,0.403447356
2.29,0.4002326531
2.3,0.3970435653
2.31,0.3938798883
2.32,0.3907414198
2.33,0.3876279589
2.34,0.3845393063
2.35,0.3814752644
2.36,0.378435637
2.37,0.3754202296
2.38,0.3724288493
2.39,0.3694613045
2.4,0.3665174053
2.41,0.3635969634
2.42,0.3606997919
2.43,0.3578257052
2.44,0.3549745195
2.45,0.3521460523
2.46,0.3493401226
2.47,0.3465565507
2.48,0.3437951586
2.49,0.3410557695
2.5,0.3383382081
2.51,0.3356423004
2.52,0.332967874
2.53,0.3303147576
2.54,0.3276827815
2.55,0.3250717772
2.56,0.3224815776
2.57,0.3199120169
2.58,0.3173629307
2.59,0.3148341559
2.6,0.3123255305
2.61,0.3098368941
2.62,0.3073680873
2.63,0.3049189522
2.64,0.302489332
2.65,0.3000790713
2.66,0.2976880157
2.67,0.2953160122
2.68,0.2929629091
2.69,0.2906285557
2.7,0.2883128026
2.71,0.2860155016
2.72,0.2837365058
2.73,0.2814756691
2.74,0.279232847
2.75,0.2770078959
2.76,0.2748006734
2.77,0.2726110382
2.78,0.2704388503
2.79,0.2682839705
2.8,0.2661462609
2.81,0.2640255849
2.82,0.2619218065
2.83,0.2598347913
2.84,0.2577644055
2.85,0.2557105168
2.86,0.2536729936
2.87,0.2516517056
2.88,0.2496465234
2.89,0.2476573186
2.9,0.245683964
2.91,0.2437263333
2.92,0.2417843011
2.93,0.2398577432
2.94,0.2379465363
2.95,0.236050558
2.96,0.234169687
2.97,0.232303803
2.98,0.2304527865
2.99,0.2286165191
3,0.2267948832
3.01,0.2249877623
3.02,0.2231950406
3.03,0.2214166035
3.04,0.2196523372
3.05,0.2179021287
3.06,0.2161658659
3.07,0.2144434379
3.08,0.2127347343
3.09,0.2110396459
3.1,0.209358064
3.11,0.2076898811
3.12,0.2060349904
3.13,0.2043932861
3.14,0.202764663
3.15,0.2011490169
3.16,0.1995462444
3.17,0.1979562429
3.18,0.1963789107
3.19,0.1948141468
3.2,0.1932618511
3.21,0.1917219242
3.22,0.1901942676
3.23,0.1886787835
3.24,0.1871753749
3.25,0.1856839455
3.26,0.1842044
3.27,0.1827366437
3.28,0.1812805826
3.29,0.1798361234
3.3,0.1784031739
3.31,0.1769816422
3.32,0.1755714374
3.33,0.1741724692
3.34,0.1727846482
3.35,0.1714078854
3.36,0.1700420928
3.37,0.1686871829
3.38,0.167343069
3.39,0.1660096652
3.4,0.1646868861
3.41,0.1633746469
3.42,0.1620728638
3.43,0.1607814535
3.44,0.1595003331
3.45,0.1582294209
3.46,0.1569686354
3.47,0.1557178959
3.48,0.1544771225
3.49,0.1532462356
3.5,0.1520251566
3.51,0.1508138072
3.52,0.1496121099
3.53,0.1484199879
3.54,0.1472373648
3.55,0.1460641649
3.56,0.1449003132
3.57,0.1437457352
3.58,0.1426003569
3.59,0.1414641051
3.6,0.1403369071
3.61,0.1392186907
3.62,0.1381093843
3.63,0.1370089169
3.64,0.1359172182
3.65,0.1348342183
3.66,0.1337598477
3.67,0.1326940379
3.68,0.1316367205
3.69,0.1305878279
3.7,0.1295472929
3.71,0.1285150491
3.72,0.1274910302
3.73,0.1264751708
3.74,0.1254674059
3.75,0.1244676709
3.76,0.1234759019
3.77,0.1224920354
3.78,0.1215160084
3.79,0.1205477585
3.8,0.1195872237
3.81,0.1186343426
3.82,0.117689054
3.83,0.1167512976
3.84,0.1158210133
3.85,0.1148981416
3.86,0.1139826234
3.87,0.1130744002
3.88,0.1121734137
3.89,0.1112796064
3.9,0.110392921
3.91,0.1095133009
3.92,0.1086406895
3.93,0.1077750313
3.94,0.1069162707
3.95,0.1060643527
3.96,0.1052192229
3.97,0.1043808272
3.98,0.1035491119
3.99,0.1027240237
4,0.1019055099
4.01,0.1010935182
4.02,0.1002879964
4.03,0.09948889311
4.04,0.09869615713
4.05,0.09790973775
4.06,0.09712958462
4.07,0.09635564782
4.08,0.09558787781
4.09,0.09482622546
4.1,0.09407064202
4.11,0.09332107913
4.12,0.09257748883
4.13,0.09183982351
4.14,0.09110803598
4.15,0.09038207939
4.16,0.08966190728
