time,x
0,0
0.01,0
0.02,4.991552296e-07
0.03,2.49235566e-06
0.04,6.969230541e-06
0.05,1.491397619e-05
0.06,2.730518524e-05
0.07,4.511567726e-05
0.08,6.931233092e-05
0.09,0.0001008559176
0.1,0.0001407009366
0.11,0.0001897954515
0.12,0.0002490809287
0.13,0.000319492077
0.14,0.0004019566888
0.15,0.0004973954833
0.16,0.0006067219509
0.17,0.0007308421991
0.18,0.0008706548008
0.19,0.001027050643
0.2,0.00120091278
0.21,0.001393116283
0.22,0.001604528097
0.23,0.001836006896
0.24,0.002088402943
0.25,0.002362557948
0.26,0.002659304928
0.27,0.002979468074
0.28,0.003323862614
0.29,0.003693294681
0.3,0.004088561181
0.31,0.004510449663
0.32,0.004959738193
0.33,0.005437195229
0.34,0.005943579495
0.35,0.00647963986
0.36,0.007046115219
0.37,0.007643734375
0.38,0.00827321592
0.39,0.008935268125
0.4,0.009630588827
0.41,0.01035986532
0.42,0.01112377423
0.43,0.01192298145
0.44,0.01275814198
0.45,0.01362989988
0.46,0.01453888812
0.47,0.01548572852
0.48,0.01647103165
0.49,0.0174953967
0.5,0.01855941142
0.51,0.01966365203
0.52,0.02080868314
0.53,0.02199505761
0.54,0.02322331655
0.55,0.02449398915
0.56,0.02580759268
0.57,0.02716463236
0.58,0.02856560131
0.59,0.03001098045
0.6,0.03150123847
0.61,0.03303683172
0.62,0.03461820417
0.63,0.03624578733
0.64,0.03792000021
0.65,0.03964124921
0.66,0.04140992813
0.67,0.04322641806
0.68,0.04509108733
0.69,0.04700429151
0.7,0.04896637328
0.71,0.05097766246
0.72,0.0530384759
0.73,0.05514911749
0.74,0.05730987808
0.75,0.05952103546
0.76,0.06178285431
0.77,0.06409558619
0.78,0.06645946947
0.79,0.06887472935
0.8,0.07134157777
0.81,0.07386021344
0.82,0.07643082179
0.83,0.07905357493
0.84,0.08172863168
0.85,0.0844561375
0.86,0.08723622452
0.87,0.09006901149
0.88,0.09295460378
0.89,0.0958930934
0.9,0.09888455893
0.91,0.1019290656
0.92,0.1050266652
0.93,0.1081773962
0.94,0.1113812835
0.95,0.1146383387
0.96,0.1179485602
0.97,0.1213119328
0.98,0.1247284279
0.99,0.1281980036
1,0.1317206049
1.01,0.135296163
1.02,0.1389245962
1.03,0.1426058094
1.04,0.146339694
1.05,0.1501261286
1.06,0.1539649783
1.07,0.1578560949
1.08,0.1617993174
1.09,0.1657944714
1.1,0.1698413696
1.11,0.1739398115
1.12,0.1780895837
1.13,0.1822904597
1.14,0.1865422002
1.15,0.190844553
1.16,0.1951972531
1.17,0.1996000226
1.18,0.204052571
1.19,0.2085545949
1.2,0.2131057786
1.21,0.2177057936
1.22,0.2223542988
1.23,0.227050941
1.24,0.2317953544
1.25,0.2365871607
1.26,0.2414259696
1.27,0.2463113786
1.28,0.251242973
1.29,0.2562203259
1.3,0.2612429988
1.31,0.2663105409
1.32,0.2714224898
1.33,0.2765783713
1.34,0.2817776996
1.35,0.2870199771
1.36,0.292304695
1.37,0.2976313329
1.38,0.3029993591
1.39,0.3084082305
1.4,0.3138573933
1.41,0.3193462821
1.42,0.3248743208
1.43,0.3304409226
1.44,0.3360454896
1.45,0.3416874134
1.46,0.347366075
1.47,0.353080845
1.48,0.3588310833
1.49,0.3646161401
1.5,0.3704353549
1.51,0.3762880575
1.52,0.3821735675
1.53,0.3880911949
1.54,0.3940402399
1.55,0.4000199929
1.56,0.4060297352
1.57,0.4120687384
1.58,0.4181362648
1.59,0.4242315679
1.6,0.4303538919
1.61,0.4365024722
1.62,0.4426765353
1.63,0.4488752993
1.64,0.4550979735
1.65,0.4613437589
1.66,0.4676118483
1.67,0.4739014263
1.68,0.4802116694
1.69,0.4865417464
1.7,0.4928908182
1.71,0.4992580381
1.72,0.5056425519
1.73,0.5120434982
1.74,0.5184600081
1.75,0.524891206
1.76,0.5313362089
1.77,0.5377941275
1.78,0.5442640655
1.79,0.5507451202
1.8,0.5572363826
1.81,0.5637369372
1.82,0.5702458626
1.83,0.5767622316
1.84,0.583285111
1.85,0.589813562
1.86,0.5963466403
1.87,0.6028833962
1.88,0.609422875
1.89,0.6159641166
1.9,0.6225061563
1.91,0.6290480244
1.92,0.6355887469
1.93,0.6421273451
1.94,0.6486628361
1.95,0.6551942328
1.96,0.6617205442
1.97,0.6682407753
1.98,0.6747539277
1.99,0.6812589993
2,0.6877549844
2.01,0.6942408747
2.02,0.7007156582
2.03,0.7071783204
2.04,0.7136278439
2.05,0.7200632089
2.06,0.7264833928
2.07,0.7328873713
2.08,0.7392741175
2.09,0.7456426027
2.1,0.7519917967
2.11,0.7583206672
2.12,0.7646281808
2.13,0.7709133026
2.14,0.7771749968
2.15,0.7834122264
2.16,0.7896239535
2.17,0.7958091399
2.18,0.8019667466
2.19,0.8080957344
2.2,0.8141950639
2.21,0.8202636957
2.22,0.8263005905
2.23,0.8323047094
2.24,0.8382750138
2.25,0.8442104661
2.26,0.8501100291
2.27,0.8559726667
2.28,0.8617973441
2.29,0.8675830275
2.3,0.8733286847
2.31,0.8790332851
2.32,0.8846957998
2.33,0.890315202
2.34,0.8958904666
2.35,0.9014205713
2.36,0.9069044956
2.37,0.9123412221
2.38,0.9177297357
2.39,0.9230690245
2.4,0.9283580794
2.41,0.9335958947
2.42,0.9387814679
2.43,0.9439138
2.44,0.9489918958
2.45,0.9540147639
2.46,0.9589814167
2.47,0.9638908709
2.48,0.9687421475
2.49,0.9735342719
2.5,0.978266274
2.51,0.9829371886
2.52,0.9875460553
2.53,0.9920919188
2.54,0.9965738289
2.55,1.000990841
2.56,1.005342015
2.57,1.009626419
2.58,1.013843124
2.59,1.017991208
2.6,1.022069755
2.61,1.026077857
2.62,1.030014609
2.63,1.033879115
2.64,1.037670485
2.65,1.041387836
2.66,1.045030292
2.67,1.048596983
2.68,1.052087047
2.69,1.055499631
2.7,1.058833887
2.71,1.062088975
2.72,1.065264064
2.73,1.06835833
2.74,1.071370957
2.75,1.074301139
2.76,1.077148075
2.77,1.079910975
2.78,1.082589057
2.79,1.085181547
2.8,1.087687681
2.81,1.090106703
2.82,1.092437866
2.83,1.094680432
2.84,1.096833674
2.85,1.098896873
2.86,1.100869319
2.87,1.102750314
2.88,1.104539167
2.89,1.106235199
2.9,1.107837739
2.91,1.109346129
2.92,1.110759719
2.93,1.112077869
2.94,1.113299952
2.95,1.114425348
2.96,1.115453452
2.97,1.116383666
2.98,1.117215405
2.99,1.117948094
3,1.118581169
3.01,1.119114079
3.02,1.119546281
3.03,1.119877248
3.04,1.120106459
3.05,1.120233409
3.06,1.120257602
3.07,1.120178556
3.08,1.119995799
3.09,1.119708871
3.1,1.119317325
3.11,1.118820727
3.12,1.118218652
3.13,1.11751069
3.14,1.116696442
3.15,1.115775523
3.16,1.114747558
3.17,1.113612187
3.18,1.112369061
3.19,1.111017845
3.2,1.109558215
3.21,1.107989863
3.22,1.10631249
3.23,1.104525812
3.24,1.10262956
3.25,1.100623474
3.26,1.098507309
3.27,1.096280836
3.28,1.093943834
3.29,1.0914961
3.3,1.088937441
3.31,1.08626768
3.32,1.083486653
3.33,1.080594207
3.34,1.077590206
3.35,1.074474526
3.36,1.071247057
3.37,1.067907702
3.38,1.064456379
3.39,1.060893019
3.4,1.057217567
3.41,1.053429981
3.42,1.049530235
3.43,1.045518315
3.44,1.041394222
3.45,1.037157969
3.46,1.032809587
3.47,1.028349116
3.48,1.023776615
