time,T,heater
0,20,1
0.01,20.19950083,1
0.02,20.39800665,1
0.03,20.59552242,1
0.04,20.79205307,1
0.05,20.98760352,1
0.06,21.18217866,1
0.07,21.37578335,1
0.08,21.56842243,1
0.09,21.76010073,1
0.1,21.95082302,1
0.11,22.14059408,1
0.12,22.32941866,1
0.13,22.51730146,1
0.14,22.7042472,1
0.15,22.89026055,1
0.16,23.07534614,1
0.17,23.25950862,1
0.18,23.44275259,1
0.19,23.62508262,1
0.2,23.80650328,1
0.21,23.9870191,1
0.22,24.16663459,1
0.23,24.34535424,1
0.24,24.52318253,1
0.25,24.7001239,1
0.26,24.87618276,1
0.27,25.05136353,1
0.28,25.22567058,1
0.29,25.39910828,1
0.3,25.57168094,1
0.31,25.7433929,1
0.32,25.91424844,1
0.33,26.08425184,1
0.34,26.25340734,1
0.35,26.42171917,1
0.36,26.58919154,1
0.37,26.75582865,1
0.38,26.92163464,1
0.39,27.08661368,1
0.4,27.25076988,1
0.41,27.41410734,1
0.42,27.57663016,1
0.43,27.73834239,1
0.44,27.89924808,1
0.45,28.05935125,1
0.46,28.2186559,1
0.47,28.37716601,1
0.48,28.53488556,1
0.49,28.69181847,1
0.5,28.84796868,1
0.51,29.00334008,1
0.52,29.15793657,1
0.53,29.311762,1
0.54,29.46482023,1
0.55,29.61711507,1
0.56,29.76865034,1
0.57,29.91942983,1
0.58,30.0694573,1
0.59,30.2187365,1
0.6,30.36727117,1
0.61,30.51506502,1
0.62,30.66212175,1
0.63,30.80844503,1
0.64,30.95403852,1
0.65,31.09890585,1
0.66,31.24305066,1
0.67,31.38647655,1
0.68,31.52918709,1
0.69,31.67118586,1
0.7,31.81247641,1
0.71,31.95306227,1
0.72,32.09294696,1
0.73,32.23213396,1
0.74,32.37062677,1
0.75,32.50842885,1
0.76,32.64554363,1
0.77,32.78197455,1
0.78,32.91772502,1
0.79,33.05279843,1
0.8,33.18719816,1
0.81,33.32092757,1
0.82,33.45398999,1
0.83,33.58638877,1
0.84,33.71812721,1
0.85,33.84920859,1
0.86,33.97963621,1
0.87,34.10941332,1
0.88,34.23854316,1
0.89,34.36702896,1
0.9,34.49487394,1
0.91,34.62208128,1
0.92,34.74865418,1
0.93,34.87459579,1
0.94,34.99990927,1
0.95,35.12459774,1
0.96,35.24866433,1
0.97,35.37211213,1
0.98,35.49494423,1
0.99,35.61716371,1
1,35.73877361,1
1.01,35.85977698,1
1.02,35.98017685,1
1.03,36.09997622,1
1.04,36.21917808,1
1.05,36.33778543,1
1.06,36.45580121,1
1.07,36.57322839,1
1.08,36.69006991,1
1.09,36.80632867,1
1.1,36.92200758,1
1.11,37.03710955,1
1.12,37.15163745,1
1.13,37.26559413,1
1.14,37.37898245,1
1.15,37.49180525,1
1.16,37.60406534,1
1.17,37.71576553,1
1.18,37.82690861,1
1.19,37.93749737,1
1.2,38.04753456,1
1.21,38.15702293,1
1.22,38.26596524,1
1.23,38.37436419,1
1.24,38.4822225,1
1.25,38.58954286,1
1.26,38.69632796,1
1.27,38.80258047,1
1.28,38.90830304,1
1.29,39.01349832,1
1.3,39.11816893,1
1.31,39.2223175,1
1.32,39.32594662,1
1.33,39.42905889,1
1.34,39.53165689,1
1.35,39.63374318,1
1.36,39.73532031,1
1.37,39.83639082,1
1.38,39.93695724,1
1.39,40.03702208,1
1.4,40.13658785,1
1.41,40.23565703,1
1.42,40.3342321,1
1.43,40.43231553,1
1.44,40.52990976,1
1.45,40.62701724,1
1.46,40.7236404,1
1.47,40.81978164,1
1.48,40.91544338,1
1.49,41.010628,1
1.5,41.10533789,1
1.51,41.19957541,1
1.52,41.29334292,1
1.53,41.38664276,1
1.54,41.47947727,1
1.55,41.57184876,1
1.56,41.66375955,1
1.57,41.75521193,1
1.58,41.84620819,1
1.59,41.9367506,1
1.6,42.02684144,1
1.61,42.11648294,1
1.62,42.20567735,1
1.63,42.29442691,1
1.64,42.38273382,1
1.65,42.4706003,1
1.66,42.55802855,1
1.67,42.64502074,1
1.68,42.73157906,1
1.69,42.81770567,1
1.7,42.90340272,1
1.71,42.98867236,1
1.72,43.07351671,1
1.73,43.15793789,1
1.74,43.24193803,1
1.75,43.32551921,1
1.76,43.40868353,1
1.77,43.49143307,1
1.78,43.57376989,1
1.79,43.65569605,1
1.8,43.73721361,1
1.81,43.8183246,1
1.82,43.89903104,1
1.83,43.97933496,1
1.84,44.05923836,1
1.85,44.13874324,1
1.86,44.21785159,1
1.87,44.29656538,1
1.88,44.37488659,1
1.89,44.45281716,1
1.9,44.53035906,1
1.91,44.60751422,1
1.92,44.68428456,1
1.93,44.76067201,1
1.94,44.83667848,1
1.95,44.91230586,1
1.96,44.98755605,1
1.97,45.06243092,1
1.98,45.13693236,1
1.99,45.21106222,1
2,45.28482235,1
2.01,45.35821461,1
2.02,45.43124082,1
2.03,45.50390281,1
2.04,45.57620239,1
2.05,45.64814138,1
2.06,45.71972158,1
2.07,45.79094476,1
2.08,45.86181272,1
2.09,45.93232722,1
2.1,46.00249004,1
2.11,46.07230291,1
2.12,46.14176759,1
2.13,46.21088581,1
2.14,46.2796593,1
2.15,46.34808979,1
2.16,46.41617897,1
2.17,46.48392856,1
2.18,46.55134025,1
2.19,46.61841572,1
2.2,46.68515665,1
2.21,46.75156471,1
2.22,46.81764156,1
2.23,46.88338884,1
2.24,46.94880822,1
2.25,47.01390131,1
2.26,47.07866974,1
2.27,47.14311515,1
2.28,47.20723913,1
2.29,47.27104329,1
2.3,47.33452922,1
2.31,47.39769852,1
2.32,47.46055276,1
2.33,47.52309352,1
2.34,47.58532235,1
2.35,47.64724081,1
2.36,47.70885046,1
2.37,47.77015282,1
2.38,47.83114944,1
2.39,47.89184183,1
2.4,47.95223152,1
2.41,48.01232002,1
2.42,48.07210882,1
2.43,48.13159943,1
2.44,48.19079332,1
2.45,48.24969199,1
2.46,48.30829689,1
2.47,48.36660951,1
2.48,48.42463128,1
2.49,48.48236367,1
2.5,48.53980813,1
2.51,48.59696607,1
2.52,48.65383894,1
2.53,48.71042815,1
2.54,48.76673513,1
2.55,48.82276127,1
2.56,48.87850798,1
2.57,48.93397665,1
2.58,48.98916868,1
2.59,49.04408543,1
2.6,49.09872828,1
2.61,49.1530986,1
2.62,49.20719774,1
2.63,49.26102707,1
2.64,49.31458792,1
2.65,49.36788164,1
2.66,49.42090955,1
2.67,49.47367298,1
2.68,49.52617326,1
2.69,49.57841169,1
2.7,49.63038957,1
2.71,49.68210822,1
2.72,49.73356892,1
2.73,49.78477296,1
2.74,49.83572162,1
2.75,49.88641617,1
2.76,49.93685788,1
2.77,49.98704801,1
2.78,50.03698781,1
2.79,50.08667855,1
2.8,50.13612144,1
2.81,50.18531774,1
2.82,50.23426867,1
2.83,50.28297546,1
2.84,50.33143932,1
2.85,50.37966147,1
2.86,50.42764311,1
2.87,50.47538544,1
2.88,50.52288965,1
2.89,50.57015694,1
2.9,50.61718848,1
2.91,50.66398544,1
2.92,50.71054901,1
2.93,50.75688034,1
2.94,50.80298059,1
2.95,50.84885092,1
2.96,50.89449246,1
2.97,50.93990637,1
2.98,50.98509378,1
2.99,50.89647443,0
3,50.74237762,0
3.01,50.58904937,0
3.02,50.43648585,0
3.03,50.28468325,0
3.04,50.13363776,0
3.05,49.98334561,0
3.06,49.83380305,0
3.07,49.68500634,0
3.08,49.53695175,0
3.09,49.38963559,0
3.1,49.24305417,0
3.11,49.09720383,0
3.12,49.0181762,1
3.13,49.07294828,1
3.14,49.12744717,1
3.15,49.18167426,1
3.16,49.23563088,1
3.17,49.2893184,1
3.18,49.34273815,1
3.19,49.39589146,1
3.2,49.44877967,1
3.21,49.5014041,1
3.22,49.55376607,1
