time,level
0,0
0.01,0.002498438151
0.02,0.004993755205
0.03,0.007485955062
0.04,0.009975041615
0.05,0.01246101875
0.06,0.01494389036
0.07,0.01742366032
0.08,0.0199003325
0.09,0.02237391078
0.1,0.02484439901
0.11,0.02731180107
0.12,0.02977612079
0.13,0.03223736205
0.14,0.03469552867
0.15,0.0371506245
0.16,0.03960265339
0.17,0.04205161915
0.18,0.04449752561
0.19,0.04694037661
0.2,0.04938017594
0.21,0.05181692744
0.22,0.05425063489
0.23,0.05668130212
0.24,0.0591089329
0.25,0.06153353105
0.26,0.06395510034
0.27,0.06637364456
0.28,0.06878916748
0.29,0.0712016729
0.3,0.07361116456
0.31,0.07601764624
0.32,0.0784211217
0.33,0.08082159469
0.34,0.08321906896
0.35,0.08561354826
0.36,0.08800503633
0.37,0.09039353691
0.38,0.09277905373
0.39,0.09516159052
0.4,0.097541151
0.41,0.09991773888
0.42,0.1022913579
0.43,0.1046620117
0.44,0.1070297041
0.45,0.1093944387
0.46,0.1117562192
0.47,0.1141150494
0.48,0.1164709328
0.49,0.1188238733
0.5,0.1211738744
0.51,0.1235209398
0.52,0.1258650732
0.53,0.1282062783
0.54,0.1305445588
0.55,0.1328799182
0.56,0.1352123602
0.57,0.1375418885
0.58,0.1398685067
0.59,0.1421922184
0.6,0.1445130273
0.61,0.1468309371
0.62,0.1491459512
0.63,0.1514580734
0.64,0.1537673072
0.65,0.1560736563
0.66,0.1583771243
0.67,0.1606777147
0.68,0.1629754312
0.69,0.1652702773
0.7,0.1675622567
0.71,0.1698513729
0.72,0.1721376295
0.73,0.17442103
0.74,0.1767015781
0.75,0.1789792772
0.76,0.1812541311
0.77,0.1835261431
0.78,0.1857953169
0.79,0.188061656
0.8,0.1903251639
0.81,0.1925858443
0.82,0.1948437005
0.83,0.1970987362
0.84,0.1993509548
0.85,0.20160036
0.86,0.2038469551
0.87,0.2060907437
0.88,0.2083317294
0.89,0.2105699156
0.9,0.2128053058
0.91,0.2150379035
0.92,0.2172677122
0.93,0.2194947354
0.94,0.2217189765
0.95,0.2239404391
0.96,0.2261591266
0.97,0.2283750424
0.98,0.2305881901
0.99,0.2327985731
1,0.2350061948
1.01,0.2372110588
1.02,0.2394131683
1.03,0.241612527
1.04,0.2438091382
1.05,0.2460030053
1.06,0.2481941318
1.07,0.2503825211
1.08,0.2525681766
1.09,0.2547511018
1.1,0.2569313
1.11,0.2591087747
1.12,0.2612835292
1.13,0.263455567
1.14,0.2656248914
1.15,0.2677915059
1.16,0.2699554138
1.17,0.2721166185
1.18,0.2742751234
1.19,0.2764309318
1.2,0.2785840471
1.21,0.2807344728
1.22,0.2828822121
1.23,0.2850272684
1.24,0.287169645
1.25,0.2893093454
1.26,0.2914463728
1.27,0.2935807306
1.28,0.2957124221
1.29,0.2978414506
1.3,0.2999678195
1.31,0.3020915322
1.32,0.3042125918
1.33,0.3063310018
1.34,0.3084467654
1.35,0.310559886
1.36,0.3126703668
1.37,0.3147782112
1.38,0.3168834224
1.39,0.3189860037
1.4,0.3210859585
1.41,0.3231832899
1.42,0.3252780013
1.43,0.327370096
1.44,0.3294595772
1.45,0.3315464481
1.46,0.3336307121
1.47,0.3357123724
1.48,0.3377914323
1.49,0.3398678949
1.5,0.3419417636
1.51,0.3440130416
1.52,0.3460817321
1.53,0.3481478384
1.54,0.3502113636
1.55,0.352272311
1.56,0.3543306839
1.57,0.3563864854
1.58,0.3584397187
1.59,0.3604903872
1.6,0.3625384938
1.61,0.364584042
1.62,0.3666270348
1.63,0.3686674755
1.64,0.3707053672
1.65,0.3727407131
1.66,0.3747735165
1.67,0.3768037804
1.68,0.3788315081
1.69,0.3808567027
1.7,0.3828793674
1.71,0.3848995053
1.72,0.3869171196
1.73,0.3889322135
1.74,0.3909447902
1.75,0.3929548526
1.76,0.3949624041
1.77,0.3969674477
1.78,0.3989699865
1.79,0.4009700237
1.8,0.4029675625
1.81,0.4049626059
1.82,0.406955157
1.83,0.408945219
1.84,0.410932795
1.85,0.4129178881
1.86,0.4149005013
1.87,0.4168806378
1.88,0.4188583007
1.89,0.4208334931
1.9,0.422806218
1.91,0.4247764786
1.92,0.4267442779
1.93,0.4287096189
1.94,0.4306725048
1.95,0.4326329387
1.96,0.4345909235
1.97,0.4365464624
1.98,0.4384995584
1.99,0.4404502145
2,0.4423984339
